team_id,name,nickname,abbrev
92,Team Chara,Team Chara,
91,Team Alfredsson,Team Alfredsson,
7209,HC Slovan Bratislava,HC Slovan,
5874,Zug Ev Zug,Ev Zug,
2452,Jokerit Jokerit Helsinki,Jokerit Helsinki,
5630,Hamburg Freezers,Freezers,
5558,Mannheim Adler,Adler,
5460,Sparta Praha Sparta,Sparta,
7210,Goteborg Frolunda HC,Frolunda HC,
2,New York Islanders,Islanders,NYI
3,New York Rangers,Rangers,NYR
1,New Jersey Devils,Devils,NJD
4,Philadelphia Flyers,Flyers,PHI
5,Pittsburgh Penguins,Penguins,PIT
6,Boston Bruins,Bruins,BOS
7,Buffalo Sabres,Sabres,BUF
8,Montréal Canadiens,Canadiens,MON
9,Ottawa Senators,Senators,OTT
10,Toronto Maple Leafs,Maple Leafs,TOR
12,Carolina Hurricanes,Hurricanes,CAR
13,Florida Panthers,Panthers,FLA
14,Tampa Bay Lightning,Lightning,TBL
15,Washington Capitals,Capitals,WSH
16,Chicago Blackhawks,Blackhawks,CHI
17,Detroit Red Wings,Red Wings,DET
18,Nashville Predators,Predators,NSH
19,St Louis Blues,Blues,STL
20,Calgary Flames,Flames,CGY
21,Colorado Avalanche,Avalanche,COL
22,Edmonton Oilers,Oilers,EDM
23,Vancouver Canucks,Canucks,VAN
24,Anaheim Ducks,Ducks,ANA
25,Dallas Stars,Stars,DAL
26,Los Angeles Kings,Kings,LAK
27,Phoenix Coyotes,Coyotes,PHX
28,San Jose Sharks,Sharks,SJS
29,Columbus Blue Jackets,Blue Jackets,CBJ
30,Minnesota Wild,Wild,MIN
52,Winnipeg Jets,Jets,WPG